,image,dist,label_predict,match
0,1a7cd9239bd2472ba06c552efa76b707.png,0.08327516518761438,263,352094a2bc4a42ecb7b0a2efbd4ba29d.png
1,f6520a37f8b948988989b7ead53f0baf.png,0.0982129369134847,669,ad2c1bce3815458eb97340f8dfbfef4e.png
2,6ed63eed801743cca9d36651efbe39a5.png,0.07434931722565391,339,cac3670d474843aeb73443b2d7b1eb5c.png
3,2b018df01c65423fbae7b4fedf679c4a.png,0.14057424123490286,942,60e8fc2847b14ce3b741aa77d0f7a09b.png
4,ffcfe148bd774cf492afff58a71b808b.png,0.09653145442096298,699,91868e6ad40f4cee9a8310851bee9049.png
5,1ef5c94c5e6a4c67b953a03be38cace1.png,0.10268722440511063,405,ee97a13ec10a46628a62c685c454afbd.png
6,88861d44de364b1da8824c37447f885e.png,0.10411710287177685,82,e84bbbb1ded642fdbea79d8df7d8fb26.png
7,05c97b353cec4dbb8d633611550f8373.png,0.17650113612052837,623,484cf651dbfb4ea1857430dd8ccca26d.png
8,eb14eb3d478f425482ed06b13ccc9c10.png,0.12764662479270605,156,5d9e1b2d79b4468e83e10a1274cf9624.png
9,8022df537e8641b481dea7f1ebfee964.png,0.10316599686401813,504,9ce4bb223c3a443bbe573d43de0f30d9.png
10,08621fc448904f25af21eba472fd09ce.png,0.1046988478925042,414,f3d8f687172f45cea9d89b6cc3f281a5.png
11,5c3b86bb01dc419aab9f89d4b1a27dd1.png,0.17955176408187123,197,defe9e80e1174fc9999f4140d27a060f.png
12,43a411f3bb664ca7a6b225b8924ad04e.png,0.01979822898966158,851,9fc6c19bd2ec4020ac7b497a87f3429e.png
13,9976c5cea43048d4b8e84ade792db697.png,0.11068708770856156,105,05ce1fa49386471d87d3224be068daeb.png
14,d62365dbf62441fab22f4920ab9bc45a.png,0.02056059603647474,108,0a815ca0dddc4d2095be8c6d0025fedc.png
15,4ed720b1fde24d6d929505e69251ece9.png,0.18306616916289314,185,e3a30321e0c045e08cf58e86735664ba.png
16,69b8441c8b4048b8bee4e7f640f5d7ad.png,0.08596598875785653,921,6e266441f5a940588dbff098c6396496.png
17,b44a0ab42af74baa9c97cba749d3cdda.png,0.09697119642512668,523,1caccf3ded984dcaa393af9d11876d45.png
18,e5c6713730c44c1a93784a4c1e4beb60.png,0.10180276385930045,194,820384c9f9b84ab3acc0c4fa9207757b.png
19,2ef31939395b464388a12e875b68f33b.png,0.0917403347423002,169,3e36764091704d7882fd535641e607e3.png
20,e5a4ffc1eba943fcafa341f65d58daa8.png,0.08253424202565104,157,1a152535ef55433dbdfee8c0eaf1b3c6.png
21,7039d22237ff4a76a6bf184c6fac87ab.png,0.10438487578804945,273,08f2ba94a6ad4c1995d5a20e0b14ce73.png
22,afad722c192846229d7b1369886b8acf.png,0.11286666212722413,94,ff7ea2be1ea44525b4d167ff20a96995.png
23,10b5ca8c84e04b6b934bb0f7f06e6727.png,0.0699452654700371,319,3c8279b7b45045adbd7a8babe5354a21.png
24,0941a47b5e274d57b713595b3eeb2354.png,0.09238687366243756,552,d0c4d2abdbd548cab1a1aeec3e9c3f77.png
25,9efafaffd3ef46aea21d01c331d7b860.png,0.15755103954171581,194,da296beb3623464094dfe6512995dd89.png
26,147dc73a869743e0b740a0a9b465f41f.png,0.10989733756462651,63,74d40572e23043f2a75c8d0b2e14405f.png
27,03700601cca44960b6fc276dd5dfe0da.png,0.11241600601522868,988,efc4f261f67a414ba2a5ecde78d08d83.png
28,3dbd631fdc504d5e89afecdb39e3ba1c.png,0.05772744124435897,400,75924c39571e475bbeb0f04d6f695b08.png
29,1dcaa819e12a418085970de565cb7b4e.png,0.10798105629984221,335,9871ff5bdd374abfba6b06a843085368.png
30,144bb6ba935345818dea7ab8de06fd9b.png,0.12489097322426349,373,4ced6fa82fa84abcab433ecdc892c8ed.png
31,112a95902db94305829c6abc09595d78.png,0.10807077883978665,553,83afbbb3a4894851afc3718b618a8a5c.png
