,image,dist,label_predict,match
0,1a7cd9239bd2472ba06c552efa76b707.png,0.1796569,263,352094a2bc4a42ecb7b0a2efbd4ba29d.png
1,f6520a37f8b948988989b7ead53f0baf.png,0.57386285,360,7d2db97c402d4a02bcf5e633651e4ab1.png
2,6ed63eed801743cca9d36651efbe39a5.png,0.02622759,339,cac3670d474843aeb73443b2d7b1eb5c.png
3,2b018df01c65423fbae7b4fedf679c4a.png,0.37350538,472,d2831a77fe85468aa873ba1a031dc2a1.png
4,ffcfe148bd774cf492afff58a71b808b.png,0.14570561,409,9cab81b11dce41c7927f88021ab59856.png
5,1ef5c94c5e6a4c67b953a03be38cace1.png,0.32698512,553,8ff49b5ff4034b4e9c77b24fb5c9ea38.png
6,88861d44de364b1da8824c37447f885e.png,0.21946533,186,7a4f3f9e0ee54da49ff8260b4c08ec36.png
7,05c97b353cec4dbb8d633611550f8373.png,0.24871284,748,5118a90c289c4c71bcaf6ab1f11e25ee.png
8,eb14eb3d478f425482ed06b13ccc9c10.png,0.35748,699,9bf7e437616d4403a53eb52c7f73bb9f.png
9,8022df537e8641b481dea7f1ebfee964.png,0.11489146,504,cfa4cd2a4f2840328666071661608cdd.png
10,08621fc448904f25af21eba472fd09ce.png,0.34893125,464,fdd8080014324f0eb2b8ba76c5a75195.png
11,5c3b86bb01dc419aab9f89d4b1a27dd1.png,0.5913827,196,248feff8996a4244a0da3d4f676db130.png
12,43a411f3bb664ca7a6b225b8924ad04e.png,0.020341817,851,9fc6c19bd2ec4020ac7b497a87f3429e.png
13,9976c5cea43048d4b8e84ade792db697.png,0.24874933,781,b3aebd8dc4cf449bb306fcda27bc51df.png
14,d62365dbf62441fab22f4920ab9bc45a.png,0.01825878,108,0a815ca0dddc4d2095be8c6d0025fedc.png
15,4ed720b1fde24d6d929505e69251ece9.png,0.28959584,792,595bd4a4976547bc8c3bb637ef19bd27.png
16,69b8441c8b4048b8bee4e7f640f5d7ad.png,0.33026558,28,ce7ed55c8c2f408fbf1c1eadee9fdf91.png
17,b44a0ab42af74baa9c97cba749d3cdda.png,0.38554248,802,a4316109474846a5863e1336d1b90043.png
18,e5c6713730c44c1a93784a4c1e4beb60.png,0.30314574,781,37b2fe69ffc6415cad94c4ad74d89189.png
19,2ef31939395b464388a12e875b68f33b.png,0.19549021,169,9949c1bce4fd401e9da35703fead536d.png
20,e5a4ffc1eba943fcafa341f65d58daa8.png,0.20215666,58,098f575b42b14138807f5114e642e699.png
21,7039d22237ff4a76a6bf184c6fac87ab.png,0.5809784,850,fc0f11ce866d43699aa4cc67bf0a57e0.png
22,afad722c192846229d7b1369886b8acf.png,0.45660937,646,e564459356df42da8026e8e9a39dc58c.png
23,10b5ca8c84e04b6b934bb0f7f06e6727.png,0.12884991,319,58e0fb687de642ccb748e82b3541d060.png
24,0941a47b5e274d57b713595b3eeb2354.png,0.27584428,587,7be15c376b79446481c802dc4db818d1.png
25,9efafaffd3ef46aea21d01c331d7b860.png,0.47659793,390,ec4f39a22ff740ad8ae6393137a9a05d.png
