,image,dist,label_predict,match
0,1a7cd9239bd2472ba06c552efa76b707.png,0.24893782,263,352094a2bc4a42ecb7b0a2efbd4ba29d.png
1,f6520a37f8b948988989b7ead53f0baf.png,0.7615012,468,55743f7734ca4b23ad8eeba4a683ee57.png
2,6ed63eed801743cca9d36651efbe39a5.png,0.024788665,339,cac3670d474843aeb73443b2d7b1eb5c.png
3,2b018df01c65423fbae7b4fedf679c4a.png,0.3624705,472,d2831a77fe85468aa873ba1a031dc2a1.png
4,ffcfe148bd774cf492afff58a71b808b.png,0.23683317,409,6e0bd66568704c8085d659b0dba78b31.png
5,1ef5c94c5e6a4c67b953a03be38cace1.png,0.3624219,553,8ff49b5ff4034b4e9c77b24fb5c9ea38.png
6,88861d44de364b1da8824c37447f885e.png,0.22024463,186,7a4f3f9e0ee54da49ff8260b4c08ec36.png
7,05c97b353cec4dbb8d633611550f8373.png,0.53579444,748,989de3434f8c48629230da5bd33f9d68.png
8,eb14eb3d478f425482ed06b13ccc9c10.png,0.5679163,455,9fc0487f02c6453193f0cd473cd72b62.png
9,8022df537e8641b481dea7f1ebfee964.png,0.14543548,504,9ce4bb223c3a443bbe573d43de0f30d9.png
10,08621fc448904f25af21eba472fd09ce.png,0.24926463,464,ada775f2a50240b1af767703a6ad0fa1.png
11,5c3b86bb01dc419aab9f89d4b1a27dd1.png,0.5343368,196,d34eca981fbf40509990ea7f6756cf4f.png
12,43a411f3bb664ca7a6b225b8924ad04e.png,0.035062592,851,9fc6c19bd2ec4020ac7b497a87f3429e.png
13,9976c5cea43048d4b8e84ade792db697.png,0.271545,781,b3aebd8dc4cf449bb306fcda27bc51df.png
14,d62365dbf62441fab22f4920ab9bc45a.png,0.019672291,108,0a815ca0dddc4d2095be8c6d0025fedc.png
15,4ed720b1fde24d6d929505e69251ece9.png,0.4002893,792,595bd4a4976547bc8c3bb637ef19bd27.png
16,69b8441c8b4048b8bee4e7f640f5d7ad.png,0.40240356,338,919c9bee194d4e47872cc2066a038fbc.png
17,b44a0ab42af74baa9c97cba749d3cdda.png,0.4645048,802,dfc170c717004eb0bafe5a50f57ed68d.png
18,e5c6713730c44c1a93784a4c1e4beb60.png,0.2666721,781,37b2fe69ffc6415cad94c4ad74d89189.png
19,2ef31939395b464388a12e875b68f33b.png,0.18115577,169,9949c1bce4fd401e9da35703fead536d.png
